id,payment_method,region,industry,trend_summary,key_driver,challenge,adoption_rate_%,growth_rate_%,transaction_volume_usd,report_source,record_date
1,Credit Card,North America,Travel & Tourism,Growth in BNPL usage,Consumer convenience and speed,Technical outages,77.87,15.3,892287388.1,Deloitte,23-12-2018
2,BNPL,North America,Retail,Increased UPI adoption,Consumer convenience and speed,High transaction fees,62.85,-4.2,199638813,Accenture,15-04-2025
3,BNPL,Europe,Utilities,Expansion of QR-based systems,Increased smartphone penetration,Cybersecurity risks,79.32,-0.21,423191783.8,World Bank,12-02-2021
4,Net Banking,Oceania,Healthcare,Increased UPI adoption,Pandemic-driven cashless preference,Regulatory uncertainty,36.29,20.42,604122305.3,KPMG,27-06-2018
5,Contactless NFC,North America,Education,Increased UPI adoption,Financial inclusion efforts,Data privacy concerns,83.91,13.56,861845193.4,McKinsey,22-06-2024
6,Credit Card,North America,Transportation,Decline in cash transactions,Pandemic-driven cashless preference,High transaction fees,86.32,6.4,453956892.1,World Bank,03-02-2022
7,QR Code Payment,Asia-Pacific,Transportation,Decline in cash transactions,Pandemic-driven cashless preference,Cross-border compliance barriers,71.27,11.02,245566114.2,BCG,09-03-2023
8,Mobile Wallet,South America,Entertainment,Growth in BNPL usage,Merchant incentives and cashback offers,Cybersecurity risks,44.89,-4.04,316137595,RBI,01-01-2021
9,Net Banking,Africa,Healthcare,Growth in BNPL usage,Low transaction costs,Regulatory uncertainty,87.5,14.29,143728718.9,McKinsey,26-07-2019
10,Contactless NFC,Africa,Travel & Tourism,Expansion of QR-based systems,Integration with super apps,Cross-border compliance barriers,55.96,1.58,997540068.9,KPMG,19-09-2023
11,Credit Card,Oceania,Retail,Increased UPI adoption,Enhanced security features,Technical outages,81.49,7.66,64464178.45,Deloitte,13-04-2022
12,Crypto Payment,Africa,Travel & Tourism,Adoption of biometric authentication,Government digital initiatives,Low rural adoption,74.31,11.11,267558364.8,IMF,10-03-2025
13,Credit Card,Asia-Pacific,Education,Shift toward digital wallets,Low transaction costs,Cybersecurity risks,92,21.28,264125661.7,World Bank,13-08-2023
14,Contactless NFC,North America,Travel & Tourism,Adoption of biometric authentication,Regulatory reforms supporting fintech,High transaction fees,39.93,17.88,539839651.1,Statista,13-12-2023
15,Cross-border Transfer,Asia-Pacific,Utilities,Rise in contactless payments,Pandemic-driven cashless preference,Merchant acceptance issues,87.12,19.95,308206611.3,McKinsey,26-08-2018
16,Cross-border Transfer,North America,E-commerce,Cross-border remittance growth,Pandemic-driven cashless preference,Digital literacy gaps,79.78,-1.15,475807095.7,World Bank,01-03-2024
17,Mobile Wallet,Africa,Finance,Integration of AI in fraud detection,Consumer convenience and speed,Digital literacy gaps,79.09,15.7,713236023.9,IMF,23-06-2022
18,Crypto Payment,Africa,Utilities,Increased UPI adoption,Consumer convenience and speed,High transaction fees,34.16,-4.37,554367600.9,McKinsey,07-08-2024
19,UPI,North America,Retail,Growth in BNPL usage,Pandemic-driven cashless preference,Cybersecurity risks,85.88,-2.87,238766629.7,KPMG,03-07-2025
20,Net Banking,Africa,Food Delivery,Expansion of QR-based systems,Regulatory reforms supporting fintech,Network dependency,45.79,9.19,407652901.5,RBI,22-01-2019
21,BNPL,Asia-Pacific,Education,Integration of AI in fraud detection,Low transaction costs,Cybersecurity risks,73.77,24.52,99319453.28,IMF,08-07-2022
22,Credit Card,Europe,Transportation,Growth in BNPL usage,Financial inclusion efforts,Network dependency,39.11,0.5,463165440.3,KPMG,05-11-2018
23,Contactless NFC,North America,Retail,Adoption of biometric authentication,Government digital initiatives,Low rural adoption,90.21,20.46,167144799.5,KPMG,13-06-2023
24,Net Banking,Oceania,Education,Rise in contactless payments,Enhanced security features,Regulatory uncertainty,30.14,6.71,926591555.5,PwC,07-02-2023
25,BNPL,South America,Entertainment,Cross-border remittance growth,Enhanced security features,High transaction fees,49.29,24.06,579601110.5,Statista,30-01-2024
26,QR Code Payment,North America,Retail,Expansion of QR-based systems,Low transaction costs,Digital literacy gaps,89.76,10.93,57822700.15,RBI,12-09-2023
27,Debit Card,North America,Finance,Increased UPI adoption,Consumer convenience and speed,Regulatory uncertainty,37.79,21.71,246969132.4,Statista,01-09-2024
28,Cross-border Transfer,North America,Education,Expansion of QR-based systems,Regulatory reforms supporting fintech,Digital literacy gaps,50.56,2.82,670056248.8,McKinsey,10-07-2021
29,Mobile Wallet,Middle East,Food Delivery,Decline in cash transactions,Low transaction costs,Merchant acceptance issues,90.39,23.07,10306141.43,Deloitte,19-12-2024
30,Credit Card,North America,Entertainment,Growth in BNPL usage,Financial inclusion efforts,Data privacy concerns,38.61,5.47,69722522.75,IMF,27-09-2020
31,Mobile Wallet,Europe,Utilities,Adoption of biometric authentication,Increased smartphone penetration,Cross-border compliance barriers,93.95,19.21,529411751.9,Accenture,28-06-2025
32,Mobile Wallet,South America,E-commerce,Shift toward digital wallets,Increased smartphone penetration,Low rural adoption,87.83,17.27,156292461.9,Deloitte,28-02-2021
33,Net Banking,South America,Healthcare,Growth in BNPL usage,Increased smartphone penetration,Digital literacy gaps,61.75,22.16,846257609.6,BCG,14-01-2019
34,Mobile Wallet,North America,Retail,Emergence of crypto transactions,Enhanced security features,Data privacy concerns,40.5,8.26,705961779.3,Statista,16-04-2024
35,Credit Card,North America,Food Delivery,Adoption of biometric authentication,Government digital initiatives,Merchant acceptance issues,67.86,-0.56,128318073.8,IMF,16-06-2021
36,UPI,Asia-Pacific,Transportation,Growth in BNPL usage,Pandemic-driven cashless preference,Merchant acceptance issues,80.71,21.52,406971012.4,World Bank,17-12-2024
37,Net Banking,Oceania,Food Delivery,Shift toward digital wallets,Integration with super apps,Cybersecurity risks,41.66,22.73,782604109.7,McKinsey,14-08-2022
38,Mobile Wallet,Europe,E-commerce,Integration of AI in fraud detection,Government digital initiatives,Network dependency,44.46,19.5,460842931.4,McKinsey,04-06-2021
39,Net Banking,North America,Transportation,Integration of AI in fraud detection,Merchant incentives and cashback offers,Data privacy concerns,86.18,24.01,279845867.7,Accenture,12-03-2025
40,BNPL,South America,Entertainment,Emergence of crypto transactions,Government digital initiatives,Low rural adoption,87.01,2.84,581009144,Statista,23-12-2020
41,Credit Card,Africa,Education,Emergence of crypto transactions,Merchant incentives and cashback offers,Regulatory uncertainty,69.4,10.34,385810237.9,McKinsey,19-06-2024
42,Mobile Wallet,North America,Education,Rise in contactless payments,Financial inclusion efforts,Digital literacy gaps,74.65,23.21,737300655.8,IMF,18-03-2020
43,BNPL,North America,Healthcare,Expansion of QR-based systems,Merchant incentives and cashback offers,Low rural adoption,76.78,4.01,309975377.6,IMF,31-07-2022
44,BNPL,South America,Travel & Tourism,Adoption of biometric authentication,Enhanced security features,High transaction fees,57.33,23.21,677640627.3,Deloitte,14-12-2019
45,Cross-border Transfer,Asia-Pacific,Education,Adoption of biometric authentication,Government digital initiatives,Data privacy concerns,48.65,7.9,580404796.4,IMF,05-05-2025
46,Crypto Payment,Middle East,Utilities,Growth in BNPL usage,Financial inclusion efforts,Network dependency,81.59,23.79,736225484.5,RBI,22-05-2025
47,Mobile Wallet,Africa,Finance,Emergence of crypto transactions,Pandemic-driven cashless preference,High transaction fees,73.73,1.74,199930802.8,Statista,11-04-2018
48,Net Banking,Middle East,Finance,Increased UPI adoption,Low transaction costs,Regulatory uncertainty,87.6,12.27,718627569.6,KPMG,22-04-2022
49,BNPL,Europe,Food Delivery,Rise in contactless payments,Pandemic-driven cashless preference,Regulatory uncertainty,44.22,19.12,696215864.6,Statista,18-03-2023
50,Contactless NFC,Europe,E-commerce,Cross-border remittance growth,Enhanced security features,Network dependency,73.39,24.64,595856866.2,Deloitte,18-12-2022
51,Contactless NFC,Middle East,Entertainment,Cross-border remittance growth,Enhanced security features,Network dependency,59.25,17.55,840023025,Accenture,09-02-2021
52,Crypto Payment,South America,Transportation,Decline in cash transactions,Low transaction costs,Low rural adoption,76.38,2.03,336511689.1,RBI,22-01-2024
53,Debit Card,Europe,Transportation,Integration of AI in fraud detection,Enhanced security features,High transaction fees,34.17,7.23,543068529.4,Statista,31-08-2022
54,Net Banking,Oceania,Education,Integration of AI in fraud detection,Regulatory reforms supporting fintech,Cybersecurity risks,85.69,17.97,381000647.9,IMF,25-01-2018
55,Mobile Wallet,Oceania,Education,Integration of AI in fraud detection,Financial inclusion efforts,Digital literacy gaps,81.99,21.93,488741248.1,BCG,22-01-2021
56,Crypto Payment,North America,Education,Emergence of crypto transactions,Integration with super apps,Technical outages,84.63,22.59,980741255.5,Statista,28-12-2023
57,BNPL,Africa,Finance,Rise in contactless payments,Pandemic-driven cashless preference,Regulatory uncertainty,38.82,8.85,51234348.86,IMF,02-04-2022
58,Net Banking,Middle East,Healthcare,Emergence of crypto transactions,Integration with super apps,Data privacy concerns,78.88,19.96,253019260.3,KPMG,02-12-2018
59,UPI,South America,Entertainment,Rise in contactless payments,Merchant incentives and cashback offers,High transaction fees,72.26,18.44,652102900.6,McKinsey,08-05-2018
60,Net Banking,Oceania,Retail,Expansion of QR-based systems,Enhanced security features,High transaction fees,38.2,15.08,564405612.4,KPMG,11-06-2020
61,Mobile Wallet,Oceania,Healthcare,Shift toward digital wallets,Regulatory reforms supporting fintech,Cross-border compliance barriers,92.64,16.55,778014094.3,PwC,02-11-2019
62,Credit Card,Africa,Retail,Decline in cash transactions,Regulatory reforms supporting fintech,Regulatory uncertainty,55.78,16.45,76920481.37,McKinsey,29-09-2025
63,Credit Card,South America,Travel & Tourism,Expansion of QR-based systems,Pandemic-driven cashless preference,Cross-border compliance barriers,80.87,5.42,428949635.2,RBI,26-02-2022
64,Contactless NFC,South America,Healthcare,Rise in contactless payments,Integration with super apps,Network dependency,36.86,23.82,635949521,World Bank,27-02-2023
65,BNPL,Europe,Entertainment,Decline in cash transactions,Regulatory reforms supporting fintech,Digital literacy gaps,80.35,8.95,825908863.8,PwC,23-08-2024
66,QR Code Payment,Oceania,Transportation,Increased UPI adoption,Increased smartphone penetration,Network dependency,45.85,8.94,610721372.5,IMF,02-04-2022
67,UPI,Middle East,Healthcare,Shift toward digital wallets,Low transaction costs,High transaction fees,53.06,2.75,280378829.6,PwC,07-09-2024
68,Contactless NFC,North America,Entertainment,Growth in BNPL usage,Pandemic-driven cashless preference,High transaction fees,76.8,9.66,758406488.8,KPMG,29-09-2025
69,Crypto Payment,Middle East,Retail,Increased UPI adoption,Increased smartphone penetration,High transaction fees,56.29,2.3,664296061.6,KPMG,20-02-2022
70,Contactless NFC,Africa,Healthcare,Integration of AI in fraud detection,Financial inclusion efforts,Merchant acceptance issues,52.87,8.61,307316368.4,RBI,02-08-2020
71,Net Banking,Asia-Pacific,E-commerce,Adoption of biometric authentication,Enhanced security features,High transaction fees,44.07,9.53,724860416.1,Deloitte,19-11-2023
72,Mobile Wallet,North America,Transportation,Decline in cash transactions,Consumer convenience and speed,Merchant acceptance issues,41.66,-4.58,534600954.2,Statista,28-01-2021
